Sport Type,Transaction ID,Transaction Type,Cost,Payment Type,Vendor Name,Vendor Point of Contact,Submitted Date
Basketball (Womens),Athlete's Thread Commission,Royalty,$32.04,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$28.95,cash,Athlete's Thread,Ian Collins,2/21/2025
Football,Athlete's Thread Commission,Royalty,$27.45,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$23.10,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Mens),Athlete's Thread Commission,Royalty,$21.37,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$19.20,cash,Athlete's Thread,Ian Collins,2/21/2025
Football,Athlete's Thread Commission,Royalty,$17.10,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$14.10,cash,Athlete's Thread,Ian Collins,2/21/2025
Football,Athlete's Thread Commission,Royalty,$12.33,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$11.22,cash,Athlete's Thread,Ian Collins,2/21/2025
Football,Athlete's Thread Commission,Royalty,$8.55,cash,Athlete's Thread,Ian Collins,2/21/2025
Softball,Athlete's Thread Commission,Royalty,$5.70,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$4.84,cash,Athlete's Thread,Ian Collins,2/21/2025
Softball,NilElite Apparel,Business Ownership/Creation,$0.00,cash,NilElite,#ERROR!,2/17/2025
Field Hockey,Restaurant Promotion,Social Media,$50.00,cash,Humbowl,Humbowl Eats Instagram,2/20/2025
Basketball (Womens),Instagram Marketing for American Capital Partners,Other,$200.00,cash,American Capital Partners,Kevin Sheehy,1/29/2025
Football,Instagram Marketing,Other,$250.00,cash,American Capital Partners,Kevin Sheehy,1/22/2025
Baseball,Gift card to Tacos Sinaloa,Social Media,$300.00,product,Tacos Sinaloa,Marlem Bueno,2/7/2025
Basketball (Womens),Rivalz This or That Video,Social Media,$400.00,cash,Evergreen Partnerships,Amanda Groen,12/12/2024
Soccer (Mens),Humbowl,Social Media,$50.00,cash,Humbowl,Eric Wright,2/14/2025
Softball,Brand/Event Exposure,Collective,$800.00,cash,Conic,Abby Prentice,2/1/2025
Swimming/Diving (Womens),Dermasport,Social Media,$200.00,product,Dermasport,David Schmidt,1/23/2025
Baseball,October 2024 NIL activations,Social Media,"$5,000.00",cash,California Legends,Abby Prentice,1/18/2025
Gymnastics (Womens),NIL Club,Not Sure,$133.30,cash,NIL Club,Bailey OSullivan,1/15/2025
Field Hockey,Social Media Instagram Posting,Social Media,$150.00,cash,N!CK's Sweedish Protein Bars,98 Strong,1/7/2025
Gymnastics (Mens),Postgame Concrete Creatine,Social Media,$65.00,cash,Concrete Creatine,Postgame App,1/5/2025
Lacrosse (Womens),Nil Club Payout,Not Sure,$83.48,cash,NIL Club,Bailey OSullivan,1/10/2025
Swimming/Diving (Womens),Hungryroot,Social Media,$500.00,cash,Hungryroot,Allison Rock,12/19/2024
Softball,Brand / Event Exposure,Collective,$800.00,cash,Conic,Abby Prentice,1/20/2025
Track and Field (Mens),POSTGAME,Social Media,$200.00,cash,POSTGAME,Postgame LLC.,1/12/2025
Field Hockey,Instagram Posting,Social Media,$50.00,product,Posing On Social Media,PAVOI PR,1/7/2025
Field Hockey,Social Media Posting,Social Media,$400.00,cash,Eve G,Eve g,1/7/2025
Football,Rivalz This or That Video,Social Media,$400.00,cash,Evergreen Partnerships,Amanda Groen,12/12/2024
Football,Rivalz This or That Video,Social Media,$400.00,cash,Evergreen Partnerships,Amanda Groen,12/12/2024
Rowing (Mens),The Feed Sponsorship Program,Social Media,$20.00,cash,The Feed,sponsorship@thefeed.com,12/23/2024
Track and Field (Mens),POSTGAME LLC,Social Media,$150.00,cash,POSTGAME LLC.,Postgame,12/24/2024
Rowing (Mens),Hive Ambassador,Social Media,$28.00,product,Honey Stinger,honeystinger@messages.honeystinger.com,12/23/2024
Gymnastics (Womens),Instagram Posts,Social Media,$316.00,cash,Vuori Clothing,98 Strong,1/8/2025
Soccer (Mens),Nil Deal,Social Media,$200.00,cash,Orgain,Sam Junco,12/19/2024
Track and Field (Mens),Torre Anderson,Social Media,$0.00,cash,Vital Apparel,Hung Dao,12/10/2024
Gymnastics (Mens),Product Promotion,Social Media,$225.00,cash,iHerb,herb,12/14/2024
Track and Field (Mens),Postgame,Social Media,$100.00,cash,Postgame LLC.,Postgame,12/7/2024
Field Hockey,Instagram Posting,Social Media,$50.00,product,Abby Rose Cases,Abby Rose,12/6/2024
Gymnastics (Mens),Armani Stronger With You,Social Media,$150.00,cash,Armani,Postgame,12/14/2024
Field Hockey,Social Media Posting,Social Media,$150.00,product,Princess Polly,Daniella Rabin,12/5/2024
Track and Field (Mens),NIL Club Withdrawal And Post On App,Not Sure,$39.49,cash,NIL CLUB App,Bailey OSullivan,12/2/2024
Softball,Posting to Site,Other,$57.27,cash,NIL Club,Bailey OSullivan,12/1/2024
Volleyball (Womens),Product Sample Promotion,Social Media,$400.00,cash,FitBiomics,Alex West,11/12/2024
Gymnastics (Mens),Affiliate Program,Social Media,$20.00,cash,Laces,Zack Kaneshiro,11/22/2024
Cross Country,Story Shoutout,Business Ownership/Creation,$250.00,cash,Tydal Wear,Tyler Jones,11/20/2024
Gymnastics (Womens),Post,Not Sure,$184.02,cash,Bailey OSullivan,Phone,11/18/2024
Cross Country,Celsius IG Story,Social Media,$10.00,product,Celsius,Celsius Ambassador Team,11/21/2024
Water Polo (Womens),Product For Content,Business Ownership/Creation,$125.00,product,Firefly Recovery,Lauren Campbell,11/22/2024
Baseball,Instagram Posts,Collective,"$10,000.00",cash,CA Legends Collective,Abby Prentice,1/17/2025
Baseball,NIL Club,Not Sure,$57.13,cash,NIL Club,Bailey OSullivan,11/13/2024
Field Hockey,Vuori Gifting,Not Sure,"$4,000.00",product,Vuori,98strong,11/11/2024
Gymnastics (Womens),Postgame Crop Hoodie Campaign,Social Media,$39.99,product,Postgame,Postgame Apparel,11/7/2024
Baseball,Cal Legends Collective,Collective,"$10,000.00",cash,Cal Legends Collective,Abby Prentice,1/14/2025
Field Hockey,Instagram Posting,Social Media,$250.00,cash,Orgain protein,98strong,11/11/2024
Gymnastics (Womens),Instagram Posts,Social Media,$250.00,cash,Orgain,98 Strong,1/8/2025
Baseball,October 2024 NIL Activations,Social Media,"$5,000.00",cash,CONIC,Abby Prentice,1/16/2025
Gymnastics (Womens),Private lesson,Camps and Lessons,$75.00,cash,Koonal Parmar,Koonal Parmar,10/28/2024
Soccer (Womens),Private training for twin 6 year old girls,Camps and Lessons,$75.00,cash,Koonal Parmar,Koonal Parmar,10/28/2024
Soccer (Womens),Private training for twin 6 year old girls,Camps and Lessons,$75.00,cash,Koonal Parmar,Koonal Parmar,10/28/2024
Soccer (Womens),Post On Social Media,Social Media,"$1,500.00",cash,Ace Berkeley,Liah Collins,10/30/2024
Field Hockey,Instagram Posting For nicks Sticks,Social Media,$150.00,cash,Nicks Sticks,98strong,11/11/2024
Cross Country,laces athletes sent free hat,Social Media,$38.00,cash,laces athletes,laces athletes via instagram,10/24/2024
Volleyball (Beach),Social Media Posts,Social Media,$99.00,product,Firefly Recovery,Lauren Campbell,10/24/2024
Cross Country,Celsius Concert Tickets,Social Media,$500.00,product,Celsius,Celsius Ambassador Team,11/21/2024
Softball,Athlete Zone T‐Shirt Deal,Royalty,$253.80,cash,Athlete Zone,Corvallis Custom LLC,11/7/2024
Track and Field (Mens),Encourage Mac Lamkin,Other,$200.00,cash,Joseph Lamkin,Joseph Lamkin,10/11/2024
Football,Venture Partner,Business Ownership/Creation,$0.00,product,Chiron Sports Group AG,Leo Rifkind,10/8/2024
Gymnastics (Womens),NIL Partnership With Leotard Company,Other,"$6,000.00",cash,"Ozone, L.L.C",Lauren Stevens,10/7/2024
Volleyball (Womens),Nick's Sticks Social Media,Social Media,$200.00,cash,Nick's Sticks,98Strong,10/8/2024
Volleyball (Womens),Skin Treatment,Social Media,$150.00,cash,Solawave,Jean,9/28/2024
Volleyball (Womens),Orgain Protein Shake Social Media,Social Media,$100.00,cash,Orgain,98Strong,10/4/2024
Volleyball (Beach),NIL Club,Other,$107.09,cash,NIL Club,Bailey OSullivan,10/1/2024
Lacrosse (Womens),NIL Club payout,Not Sure,$60.77,cash,Yoke Global Inc.,Bailey O'Sullivan,10/7/2024
Volleyball (Womens),Clothing Deal,Social Media,$150.00,cash,RiHoas,Judy,9/28/2024
Gymnastics (Womens),Instagram Post,Social Media,$100.00,product,The Courageous Brand,Amy Macbride,9/27/2024
Volleyball (Beach),Posting Content,Other,$110.67,cash,NIL Club,Bailey OSullivan,9/27/2024
Volleyball (Beach),Product Advertising,Social Media,$100.00,cash,7‐Eleven,Postgame,12/11/2024
Gymnastics (Mens),NIL Club Post,Social Media,$82.73,cash,NIL Club,O'Sullivan,9/19/2024
Baseball,CA Legends Collective,Collective,"$1,500.00",cash,CA Legends Collective,Abby Prentice,1/14/2025
Gymnastics (Mens),7/11 X Postgame Ad,Social Media,$100.00,cash,Shelby From Postgame,Shelby,9/10/2024
Gymnastics (Womens),Social Media Posts,Social Media,$125.00,cash,Tangle Teezer,Postgame,9/11/2024
Volleyball (Beach),Product Advertising,Social Media,$150.00,cash,Sweet Loren's,98 Strong,8/28/2024
Gymnastics (Womens),Instagram Post,Social Media,$160.00,cash,Yesly,Postgame,8/30/2024
Field Hockey,Instagram Posting,Social Media,$150.00,cash,Sangria Señoral,98strong,9/12/2024
Softball,NIL Club Cash Out,Not Sure,$50.85,cash,NIL Club,Bailey OSullivan,8/13/2024
Lacrosse (Womens),Firefly Recovery,Social Media,$125.00,product,Firefly Recovery,Lauren Campbell,8/6/2024
Soccer (Womens),Laces,Social Media,$80.00,product,Laces Athletes,Instagram,7/28/2024
Cross Country,MOGL,Other,$0.00,cash,Smeeple,Calvin Holston,10/30/2024
Soccer (Womens),Vuori,Social Media,$300.00,cash,Vuori,98strong,7/28/2024
Swimming/Diving (Womens),2 Instagram Story Posts,Social Media,$35.99,product,Slate Milk,NIL Club,7/8/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Volleyball (Womens),Vuori,Social Media,$300.00,cash,Vuori,Alana,8/12/2024
Water Polo (Womens),Social Media Posts,Social Media,$200.00,cash,Halfday Iced Teas,98 Strong,8/21/2024
Volleyball (Beach),Brand Ambassador,Social Media,$243.00,product,Slunks,Charlie,7/9/2024
Gymnastics (Womens),Fashion Show,Public Appearance,$203.00,product,Athleta,Natalie Clendening,6/20/2024
Gymnastics (Womens),Athleta Fashion Show,Other,$200.00,product,Athleta,Natalie Clendening,6/28/2024
Field Hockey,Posying For A Brand,Social Media,$200.00,product,Market Pryce,Jason Bergman,7/3/2024
Volleyball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$3.08,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$2.24,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Cross Country,Modeling,Social Media,$300.00,product,Natalie B Designs,Natalie Schroeder,6/5/2024
Volleyball (Womens),Clean Energy,Social Media,$200.00,cash,The CAPS Group LLC,Brad Blevins,6/6/2024
Field Hockey,Posting,Social Media,$150.00,cash,BAMnut,98strong Website,6/1/2024
Volleyball (Womens),Protein Supplemental Exchange,Social Media,$200.00,cash,Orgain,98 Strong Team,9/28/2024
Volleyball (Womens),Product Exchange,Social Media,$250.00,product,Ready Nutrition,Pat Cavanaugh,5/17/2024
Field Hockey,Content Creation,Social Media,$125.00,cash,WhatIF Foods,98Strong Company,5/18/2024
Softball,Fanatics,Royalty,$2.24,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$5.60,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Fanatics,Royalty,$3.36,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Fanatics,Royalty,$5.60,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Lacrosse (Womens),Emily Moes,Social Media,$150.00,cash,Vuori Clothing,Alana,5/11/2024
Volleyball (Womens),Bathing Suit Promotion,Social Media,$200.00,product,Berlook,Cherry,9/28/2024
Soccer (Womens),What If Foods BAMnut Milk,Social Media,$150.00,cash,What IF foods,98 Strong,5/11/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Soccer (Womens),Sangria Senorial,Social Media,$150.00,cash,Sangria Senorial,98 Strong,5/9/2024
Soccer (Mens),Zack Andoh,Other,$13.55,cash,NIL Club,Bailey OSullivan,5/10/2024
Lacrosse (Womens),Vuori Clothing Deal,Social Media,$150.00,cash,Vuori,Alana,5/8/2024
Field Hockey,Liquid Iv,Social Media,$50.00,product,Liquid IV,MOGL Platform,5/8/2024
Cross Country,2024 SF Giants Affiliate Program,Social Media,$50.00,product,SF Giants,Amy Oum,5/8/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Gameday Greats by Prosphere,Royalty,$8.74,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$3.08,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Gameday Greats by Prosphere,Royalty,$5.82,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$11.76,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$23.52,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Soccer (Mens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Soccer (Mens),Fanatics,Royalty,$17.07,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$15.68,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Volleyball (Womens),Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$15.68,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$11.76,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$5.88,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Gameday Greats by Prosphere,Royalty,$2.91,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$19.60,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Gameday Greats by Prosphere,Royalty,$5.82,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Soccer (Mens),Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$15.68,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Gameday Greats by Prosphere,Royalty,$2.91,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$2.74,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$3.36,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Gameday Greats by Prosphere,Royalty,$5.09,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$74.48,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$54.88,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$31.36,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$11.76,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Gameday Greats by Prosphere,Royalty,$2.54,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$83.89,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$11.76,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$19.60,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$27.44,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$2.94,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Gameday Greats by Prosphere,Royalty,$2.69,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$19.60,cash,Fanatics,Sami Robbins,10/30/2024
Football,Gameday Greats by Prosphere,Royalty,$2.69,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$8.82,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
